"state" "County" "Margin2020" "votes" "counted"
"Connecticut" "Monroe" -1.3 12002 98
"Connecticut" "Avon" 24 11987 98
"Connecticut" "Stonington" 27 11889 98
"Connecticut" "East Lyme" 26 11756 98
"Connecticut" "Wilton" 33 11715 98
"Connecticut" "Bethel" 14 11172 98
"Connecticut" "Rocky Hill" 13 10940 98
"Connecticut" "Brookfield" 1.9 10807 98
"Connecticut" "Wolcott" -32 10002 98
"Connecticut" "Colchester" 10 9691 98
"Connecticut" "Plainville" -1.5 9647 98
"Connecticut" "Ellington" 3 9491 98
"Connecticut" "Seymour" -13 9392 98
"Connecticut" "Tolland" 12 9257 98
"Connecticut" "Orange" 5 9253 98
"Connecticut" "New London" 53 9123 98
"Connecticut" "Montville" 1.8 8873 98
"Connecticut" "Cromwell" 13 8783 98
"Connecticut" "Suffield" 2 8686 98
"Connecticut" "North Branford" -12 8631 98
"Connecticut" "New Fairfield" -3 8558 98
"Connecticut" "Oxford" -22 8514 98
"Connecticut" "Ledyard" 10 8427 98
"Connecticut" "Ansonia" 9 8419 98
"Connecticut" "Windham" 30 8348 98
"Connecticut" "Killingly" -15 8283 98
"Connecticut" "East Hampton" 4 7988 98
"Connecticut" "Clinton" 14 7804 98
"Connecticut" "Coventry" 6 7772 98
"Connecticut" "Mansfield" 52 7485 98
"Connecticut" "Granby" 12 7373 98
"Connecticut" "Old Saybrook" 17 7343 98
"Connecticut" "Plainfield" -17 7086 98
"Connecticut" "Windsor Locks" 8 7021 98
"Connecticut" "Canton" 18 6663 98
"Connecticut" "Plymouth" -23 6593 98
"Connecticut" "Woodbury" -1.7 6559 98
"Connecticut" "Weston" 47 6528 98
"Connecticut" "Stafford" -10 6422 98
"Connecticut" "Hebron" 10 6266 98
"Connecticut" "Burlington" 1 6231 98
"Connecticut" "Prospect" -30 6111 98
"Connecticut" "Griswold" -12 5981 98
"Connecticut" "Redding" 30 5975 98
"Connecticut" "Portland" 9 5888 98
"Connecticut" "East Haddam" 4 5825 98
"Connecticut" "Derby" 4 5778 98
"Connecticut" "Woodbridge" 36 5739 98
"Connecticut" "Somers" -13 5731 98
"Connecticut" "East Windsor" 8 5652 98
"Connecticut" "Haddam" 0.63 5512 98
"Connecticut" "Old Lyme" 21 5413 98
"Connecticut" "Litchfield" 2 5342 98
"Connecticut" "Woodstock" 0.54 5179 98
"Connecticut" "Thompson" -19 5155 98
"Connecticut" "Winchester" -10 5133 98
"Connecticut" "Middlebury" -9 5078 98
"Connecticut" "Easton" 12 5023 98
"Connecticut" "Durham" 0.69 4782 98
"Connecticut" "Essex" 29 4715 98
"Connecticut" "New Hartford" -6 4577 98
"Connecticut" "Lebanon" -5 4438 98
"Connecticut" "Killingworth" 8 4387 98
"Connecticut" "Thomaston" -28 4374 98
"Connecticut" "Putnam" -3 4350 98
"Connecticut" "Westbrook" 8 4311 98
"Connecticut" "Brooklyn" -9 4222 98
"Connecticut" "Marlborough" 6 4062 98
"Connecticut" "Beacon Falls" -17 3803 98
"Connecticut" "Harwinton" -22 3701 98
"Connecticut" "Bethany" 5 3698 98
"Connecticut" "Columbia" 8 3568 98
"Connecticut" "North Stonington" -3 3375 98
"Connecticut" "Bolton" 7 3288 98
"Connecticut" "East Granby" 12 3264 98
"Connecticut" "Willington" 7 3204 98
"Connecticut" "Canterbury" -19 3012 98
"Connecticut" "Deep River" 24 2902 98
